,0,1
1941,texas,69
2231,berry,69
2258,adrian,69
2294,lat,69
2724,corp,69
2746,florida,69
2778,night,69
3308,megan,69
3332,emo,69
3609,dont,69
3867,prince,69
3885,sandy,69
4102,seven,69
4119,precious,69
4885,anti,69
6022,cw,69
111,hawk,68
455,imp,68
467,teddy,68
883,alan,68
1187,pot,68
1395,jeremy,68
2007,rain,68
2126,rip,68
2446,sul,68
2615,wil,68
2949,rules,68
3079,woman,68
4074,tommy,68
4661,bat,68
4880,elijah,68
5251,teo,68
5395,shane,68
142,ville,67
448,how,67
503,ono,67
588,row,67
655,tat,67
841,chicago,67
1400,missy,67
1535,kiel,67
2388,cf,67
2782,mont,67
3016,holly,67
3294,app,67
3352,martin,67
3362,some,67
3374,dsl,67
4005,ely,67
4293,lion,67
4371,abb,67
7181,juan,67
18,google,66
237,nw,66
365,diva,66
415,gas,66
1695,child,66
2016,monster,66
2041,sadie,66
2063,blood,66
2361,luna,66
2831,TRUE,66
2951,hall,66
3060,allen,66
3560,saw,66
3847,chuck,66
4330,chip,66
382,aly,65
396,rim,65
529,miller,65
577,nz,65
594,passion,65
812,phil,65
905,flowers,65
1175,turtle,65
1308,span,65
1649,raven,65
1948,bf,65
2004,angelo,65
2181,need,65
2414,here,65
2765,cell,65
2787,victoria,65
2825,elvis,65
2921,luke,65
3025,male,65
3037,holy,65
3099,bass,65
3116,young,65
3705,your,65
3717,luc,65
4065,children,65
4166,dio,65
4609,isaiah,65
5111,dawn,65
5152,murphy,65
5438,sum,65
6937,eve,65
833,simon,64
1405,sean,64
1587,stupid,64
1861,mma,64
2180,ang,64
2233,storm,64
3121,ethan,64
3196,vis,64
3636,dust,64
4000,dill,64
4035,four,64
4196,number,64
4419,nike,64
59,link,63
520,harry,63
926,tina,63
1414,rush,63
1440,knight,63
1543,honda,63
1589,yahoo,63
1646,twins,63
1651,eat,63
1854,poe,63
1955,sierra,63
2450,beach,63
2715,alexander,63
2964,aes,63
3227,doe,63
3303,golf,63
3570,papa,63
3632,crystal,63
3657,chance,63
3749,hair,63
4399,mes,63
4933,gabriel,63
5464,sur,63
139,doc,62
230,wife,62
425,chocolate,62
715,gp,62
1351,ruth,62
1600,dun,62
1650,pretty,62
